geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Afghanistan/,38928346,56.93776001,64486,19.5,0.25,,47,65,33,327,35,4.6,0.80481,0.00077,0.00013,0.00026,0.00013,0.00013,0.00013,0.00051,2.58492694,520.8966027,0.529079232,4.08,69.13071516,11.5,0.293946407,0.0006276517888
Albania/,2877797,104.6122628,78458,34.3,0.63,,167,20,41,1485,32,1.6,0.89304,0.20154,0.01737,0.00174,0.00174,0.00174,0.00174,0.00174,13.74473591,5268.848504,1.152906741,19.11,12.1525875,7.53,1.978763312,0.001019877358
Algeria/,43851044,17.73007507,76693,28.9,0.73,,140,3,28,89,41,3.1,0.79200,0.00137,0.01505,0.00011,0.00011,0.00011,0.00023,0.00011,6.362496545,4114.715061,0.581716794,11.08,15.52482374,7.87,3.735520147,0.001766502982
Andorra/,77265,163.8425532,,46.2,0.88,,,1.5,42.5,,45,,0.06471,0.90597,0.06471,0.06471,0.06471,0.06471,0.06471,0.06471,0,42029.76274,2.409174488,14.25,18.12108169,4.17,5.832906215,0
Angola/,32866272,24.71305206,60782,15.9,0.67,,32,18.5,-12.5,1010,33,5.6,0.00122,0.52546,0.02982,0.00015,0.00015,0.00015,0.02404,0.00015,,,0.424512079,4.78,92.2164421,5.82,,
Argentina/,45195774,16.2585101,76.52,32.4,0.93,0.000646,316,-64,-34,591,25,2.3,0.00885,0.76158,0.10886,0.00011,0.00044,0.00443,0.00730,0.00266,11.11778888,11683.94962,1.176868831,15.61,56.33369413,5.12,4.781507775,0.003577502622
Aruba/,106766,588.0277778,76152,39.9,0.44,,,-69.9667,12.5,,,1.9,0.04683,0.93663,0.04683,0.04683,0.04683,0.04683,0.04683,0.04683,,,,,,,,
Australia/,25499884,3.24787091,82.74878049,37.5,0.86,0.002978,789,133,-27,534,30,1.8,0.02118,0.58745,0.21137,0.01216,0.02353,0.00431,0.00588,0.00706,15.65647523,57373.68668,3.042002085,12.62,9.071138937,2.86,15.38876602,0.0260936089
Austria/,9006398,107.1279669,81.69268293,44.5,0.57,0.003476,555,13.3333,47.3333,1110,38,1.5,0.04996,0.74947,0.12547,0.00056,0.00222,0.00111,0.00056,0.00111,19.00156646,51461.95478,2.228314728,14.13,4.587225585,4.29,6.86986793,0.01446305171
Azerbaijan/,10139177,120.2343172,72864,32.6,0.56,,124,47.5,40.5,447,40,2.1,0.87778,0.02762,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,,,,,,,,
Bahamas/,393244,38.52547453,73.55,,0.86,,81,-76,24.25,,,1.8,0.01271,0.83917,0.02543,0.01271,0.01271,0.01271,0.01271,0.01271,,,,,,,,
Bahrain/,1701575,2017.2737,77163,32.9,0.89,0.007549,422,50.55,26,83,44,2,0.52304,0.10578,0.01175,0.07052,0.01763,0.00294,0.00294,0.00294,2.426333878,24050.75751,0.642360539,9.89,18.80903443,12.23,23.45540632,0.03355361944
Bangladesh/,164689383,1239.579312,72.32,27.9,0.39,0.000108,4,90,24,2666,21,2.1,0.81626,0.00273,0.00003,0.07699,0.00559,0.00003,0.00061,0.00061,5.15839064,1698.262802,0.254187684,10.23,32.49877942,13.83,0.47365761,0.0006156041382
Barbados/,287375,666.6069767,79081,39.5,0.31,,387,-59.5333,13.1667,1422,,1.6,0.01740,0.90474,0.01740,0.01740,0.01740,0.01740,0.01740,0.01740,15.80269396,17949.28151,1.502144362,6.05,38.73698576,6.18,4.467476521,0
Belarus/,9449323,46.71950379,74.17560976,40.9,0.79,0.003060,369,28,53,618,29,1.7,0.00212,0.72280,0.28997,0.00053,0.00053,0.00053,0.00053,0.00053,,,,,,,,
